Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Hours from Noon,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Sky Cover_1,Sky Cover_2,Sky Cover_3,Sky Cover_4
1.0,0.009005763665977301,0.5277777777777779,0.7428571428571428,0.2745098039215686,0.9999999999999999,0.5232558139534884,0.47368421052631576,0.44761904761904603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.11456300866577515,0.7222222222222223,0.7999999999999999,0.13725490196078427,0.9999999999999999,0.627906976744186,0.18421052631578946,0.5523809523809504,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.14366224702204827,0.38888888888888884,0.7999999999999999,0.2392156862745098,0.8974358974358974,0.7674418604651163,0.2894736842105263,0.5809523809523789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.26581586250347483,0.6388888888888888,0.7999999999999999,0.2274509803921569,0.9999999999999999,0.45348837209302323,0.47368421052631576,0.466666666666665,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.8763481898193035,0.25,0.7714285714285714,0.15294117647058822,0.9999999999999999,0.9186046511627906,0.3421052631578947,0.6666666666666679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2421635086733185,0.5555555555555556,0.7999999999999999,0.3529411764705882,0.9999999999999999,0.627906976744186,0.5526315789473684,0.4380952380952401,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.4677764276309289,0.5277777777777779,0.7428571428571428,0.5490196078431373,0.9999999999999999,0.7441860465116279,0.21052631578947367,0.47619047619047805,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.10699048133409647,0.5833333333333335,0.7428571428571428,0.5215686274509804,0.9999999999999999,0.6511627906976745,0.2631578947368421,0.485714285714284,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.2905202059952792,0.5277777777777779,0.5428571428571428,0.2745098039215686,0.9999999999999999,0.8837209302325582,0.0,0.5714285714285694,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.033337660988356686,0.6944444444444444,0.7428571428571428,0.32941176470588235,0.9999999999999999,0.5581395348837208,0.4473684210526315,0.466666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.21847639647608422,0.75,0.8285714285714285,0.10980392156862742,0.9999999999999999,0.3372093023255814,0.13157894736842105,0.5142857142857125,0.30000000000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.32689263632911475,0.4722222222222223,0.3714285714285714,0.34509803921568627,0.8974358974358974,0.8837209302325582,0.6052631578947368,0.37142857142857366,0.30000000000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.35749566445513903,0.11111111111111116,0.08571428571428572,0.12156862745098038,0.9999999999999999,0.627906976744186,0.0,0.6857142857142833,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.5609156657693756,0.2777777777777779,0.7428571428571428,0.24313725490196075,0.9999999999999999,0.6744186046511627,0.2631578947368421,0.6190476190476168,0.6000000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.5443955482887715,0.41666666666666674,0.5142857142857142,0.7725490196078432,0.9999999999999999,0.8488372093023255,0.4473684210526315,0.40952380952380807,0.7000000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.14355312848168877,0.41666666666666674,0.7428571428571428,0.21568627450980388,0.9999999999999999,0.7441860465116279,0.2894736842105263,0.7047619047619023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,0.006623708239821342,0.5833333333333335,0.7142857142857143,0.5960784313725491,0.9999999999999999,0.49999999999999994,0.6578947368421052,0.47619047619047805,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.9997742594384557,0.11111111111111116,0.5714285714285714,0.3058823529411765,0.9999999999999999,0.872093023255814,0.13157894736842105,0.37142857142857366,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.37996909275366597,0.5555555555555556,0.7142857142857143,0.39607843137254894,0.9999999999999999,0.7790697674418605,0.23684210526315788,0.42857142857142705,0.6000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6517327736664261,0.4444444444444444,0.7428571428571428,0.4196078431372549,0.9999999999999999,0.8023255813953487,0.2894736842105263,0.47619047619047805,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.07392049277069002,0.19444444444444442,0.6,0.2588235294117647,0.8974358974358974,0.8023255813953487,0.21052631578947367,0.6476190476190489,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.008748794654855382,0.19444444444444442,0.7999999999999999,0.823529411764706,0.9999999999999999,0.46511627906976744,0.6842105263157894,0.6952380952380963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.5624724730484039,0.5833333333333335,0.7428571428571428,0.8705882352941177,0.9999999999999999,0.7441860465116279,0.7894736842105263,0.21904761904761827,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.3059102420662605,0.4444444444444444,0.7999999999999999,0.36470588235294116,0.9999999999999999,0.5930232558139534,0.39473684210526316,0.6285714285714299,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.09139832792510283,0.7777777777777779,0.8285714285714285,0.4117647058823529,0.9999999999999999,0.48837209302325585,0.15789473684210525,0.37142857142857366,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2501721279343921,0.6388888888888888,0.7714285714285714,0.3607843137254902,0.9999999999999999,0.7093023255813953,0.39473684210526316,0.5047619047619065,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.315780079305376,0.38888888888888884,0.7428571428571428,0.6431372549019608,0.9999999999999999,0.8372093023255813,0.23684210526315788,0.7428571428571438,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
